2023-04-05 19:09:35,456 INFO    MainThread:6964 [wandb_setup.py:_flush():76] Configure stats pid to 6964
2023-04-05 19:09:35,457 INFO    MainThread:6964 [wandb_setup.py:_flush():76] Loading settings from /home/an920107/.config/wandb/settings
2023-04-05 19:09:35,457 INFO    MainThread:6964 [wandb_setup.py:_flush():76] Loading settings from /home/an920107/Documents/Programming/C++/演算法/hw1/wandb/settings
2023-04-05 19:09:35,457 INFO    MainThread:6964 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-05 19:09:35,457 INFO    MainThread:6964 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-05 19:09:35,457 INFO    MainThread:6964 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'C++/演算法/hw1/testing_karatsuba.py', 'program': '/home/an920107/Documents/Programming/C++/演算法/hw1/testing_karatsuba.py'}
2023-04-05 19:09:35,458 INFO    MainThread:6964 [wandb_init.py:_log_setup():506] Logging user logs to /home/an920107/Documents/Programming/C++/演算法/hw1/wandb/run-20230405_190935-tavrd78g/logs/debug.log
2023-04-05 19:09:35,458 INFO    MainThread:6964 [wandb_init.py:_log_setup():507] Logging internal logs to /home/an920107/Documents/Programming/C++/演算法/hw1/wandb/run-20230405_190935-tavrd78g/logs/debug-internal.log
2023-04-05 19:09:35,458 INFO    MainThread:6964 [wandb_init.py:init():546] calling init triggers
2023-04-05 19:09:35,458 INFO    MainThread:6964 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-04-05 19:09:35,458 INFO    MainThread:6964 [wandb_init.py:init():602] starting backend
2023-04-05 19:09:35,458 INFO    MainThread:6964 [wandb_init.py:init():606] setting up manager
2023-04-05 19:09:35,460 INFO    MainThread:6964 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-05 19:09:35,461 INFO    MainThread:6964 [wandb_init.py:init():613] backend started and connected
2023-04-05 19:09:35,464 INFO    MainThread:6964 [wandb_init.py:init():701] updated telemetry
2023-04-05 19:09:35,469 INFO    MainThread:6964 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-05 19:09:36,147 INFO    MainThread:6964 [wandb_run.py:_on_init():2133] communicating current version
2023-04-05 19:09:36,473 INFO    MainThread:6964 [wandb_run.py:_on_init():2142] got version response 
2023-04-05 19:09:36,473 INFO    MainThread:6964 [wandb_init.py:init():789] starting run threads in backend
2023-04-05 19:09:36,780 INFO    MainThread:6964 [wandb_run.py:_console_start():2114] atexit reg
2023-04-05 19:09:36,780 INFO    MainThread:6964 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-05 19:09:36,781 INFO    MainThread:6964 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-05 19:09:36,781 INFO    MainThread:6964 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-05 19:09:36,781 INFO    MainThread:6964 [wandb_init.py:init():831] run started, returning control to user process
2023-04-05 19:10:30,390 WARNING MsgRouterThr:6964 [router.py:message_loop():77] message_loop has been closed
