ssssffff
sffff
¦r¬q2,¦r¬q1,¦r¬q3,¦r¬q4,¦r¬q5,¦r¬q6,‹ï­±??
¥æ©ö«~ºØ,¶}­Ü»ù,¥­­Ü»ù,¶}­Ü®É¶¡,¥­­Ü®É¶¡,¦¬¯q²v,Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µ¦h
          ","
          41564.51
        ","
          41399.00
        ","
          04/22 01:59:53
        ","
          04/22 03:03:13
        ","
          -7.96%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µ¦h
          ","
          41556.32
        ","
          41526.00
        ","
          04/22 01:57:32
        ","
          04/22 01:58:05
        ","
          -1.45%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µ¦h
          ","
          41609.72
        ","
          41535.00
        ","
          04/22 01:43:49
        ","
          04/22 01:55:20
        ","
          -3.59%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            KNC/USDT
            (3X) 
            °µ¦h
          ","
          4.9391
        ","
          4.8994
        ","
          04/22 00:55:15
        ","
          04/22 01:40:36
        ","
          -2.41%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µ¦h
          ","
          41942.27
        ","
          42033.19
        ","
          04/22 00:33:46
        ","
          04/22 00:48:12
        ","
          4.33%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (10X) 
            °µ¦h
          ","
          42104.31
        ","
          41994.00
        ","
          04/22 00:17:19
        ","
          04/22 00:28:44
        ","
          -2.61%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            SRM/USDT
            (3X) 
            °µ¦h
          ","
          2.5764
        ","
          2.6106
        ","
          04/21 09:17:58
        ","
          04/21 19:53:39
        ","
          3.98%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (10X) 
            °µ¦h
          ","
          3104.54
        ","
          3124.51
        ","
          04/21 12:14:16
        ","
          04/21 18:20:50
        ","
          6.43%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µ¦h
          ","
          41891.53
        ","
          42361.49
        ","
          04/21 18:11:21
        ","
          04/21 18:20:12
        ","
          22.43%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (10X) 
            °µ¦h
          ","
          41671.93
        ","
          41974.99
        ","
          04/21 11:36:16
        ","
          04/21 16:52:38
        ","
          7.27%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            BTC/USDT
            (20X) 
            °µ¦h
          ","
          41885.10
        ","
          42097.82
        ","
          04/20 19:23:14
        ","
          04/20 19:45:42
        ","
          10.15%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            REEF/USDT
            (10X) 
            °µ¦h
          ","
          0.010019
        ","
          0.010054
        ","
          04/20 15:08:27
        ","
          04/20 16:25:09
        ","
          3.49%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            NEAR/USDT
            (10X) 
            °µ¦h
          ","
          17.1756
        ","
          17.2099
        ","
          04/20 11:24:02
        ","
          04/20 14:11:33
        ","
          2.00%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
"
            ETH/USDT
            (10X) 
            °µ¦h
          ","
          3086.50
        ","
          3096.81
        ","
          04/20 10:47:40
        ","
          04/20 13:50:34
        ","
          3.34%
        ",Fcapital ¥æ©ö­û¥«³õ¤ÀªR¡G¥æ©öµ¦²¤ ¦Û°Ê¥æ©ö ¤@Áä¸ò³æ | BingX
